"","loc","lng","lat"
"224","Tonga",-176.2405543,-22.3719034
"225","Trinidad And Tobago",-61.9725001,9.9930001
"226","Tunisia",7.522311,30.2280339
"227","Turkey",25.4408142,35.8085919
"228","Turkmenistan",52.3169,35.12876
"229","Turks And Caicas Islands",-72.5207,21.1459922
"230","Uganda",29.573433,-1.4823178
"231","Ukraine",22.1370556,44.2924
"232","United Arab Emirates",51.4576504,22.6315138
"233","United Kingdom (Europe)",-18.5319589,47.5554486
"234","United Kingdom",-18.5319589,47.5554486
"235","United States",-173.2992296,15.7760139
"236","Uruguay",-58.4913609,-35.1558001
"237","Uzbekistan",55.998218,37.1722611
"238","Venezuela",-73.4255611,0.5438179
"239","Vietnam",102.1440178,8.1952001
"240","Virgin Islands",-64.7513489802915,18.3319843197085
"241","Western Sahara",-17.4573001,20.427
"242","Yemen",41.5,11.7975
"243","Zambia",21.999351,-18.0774179
"244","Zimbabwe",25.237368,-22.4219117
